operacao,custo,total,media
242,640,151944,627.8677685950413
243,632,152576,627.8847736625514
244,630,153206,627.8934426229508
245,634,153840,627.9183673469388
246,630,154470,627.9268292682926
247,631,155101,627.9392712550607
248,630,155731,627.9475806451613
249,630,156361,627.9558232931727
250,633,156994,627.976
251,630,157624,627.98406374502
252,634,158258,628.0079365079365
253,631,158889,628.0197628458498
254,630,159519,628.0275590551181
255,631,160150,628.0392156862745
256,631,160781,628.05078125
257,630,161411,628.0583657587549
258,630,162041,628.0658914728682
259,630,162671,628.073359073359
260,631,163302,628.0846153846154
261,630,163932,628.0919540229885
262,630,164562,628.0992366412214
263,630,165192,628.106463878327
264,635,165827,628.1325757575758
265,630,166457,628.1396226415094
266,630,167087,628.1466165413534
267,632,167719,628.1610486891386
268,631,168350,628.1716417910447
269,632,168982,628.1858736059479
270,633,169615,628.2037037037037
271,630,170245,628.210332103321
272,631,170876,628.2205882352941
273,630,171506,628.2271062271062
274,630,172136,628.2335766423357
275,630,172766,628.24
276,630,173396,628.2463768115942
277,630,174026,628.2527075812275
278,630,174656,628.2589928057554
279,635,175291,628.2831541218638
280,641,175932,628.3285714285714
281,632,176564,628.3416370106762
282,632,177196,628.354609929078
283,630,177826,628.3604240282685
284,630,178456,628.3661971830986
285,630,179086,628.3719298245614
286,2,179088,626.1818181818181
287,2,179090,624.006968641115
288,630,179720,624.0277777777778
289,630,180350,624.0484429065745
290,630,180980,624.0689655172414
291,630,181610,624.0893470790378
292,630,182240,624.1095890410959
293,631,182871,624.1331058020478
294,630,183501,624.1530612244898
295,630,184131,624.1728813559322
296,632,184763,624.1993243243244
297,631,185394,624.2222222222222
298,632,186026,624.248322147651
299,634,186660,624.2809364548496
300,630,187290,624.3
301,633,187923,624.3289036544851
302,630,188553,624.3476821192053
303,635,189188,624.3828382838284
304,630,189818,624.4013157894736
305,2,189820,622.360655737705
306,631,190451,622.3888888888889
307,630,191081,622.413680781759
308,631,191712,622.4415584415584
309,630,192342,622.4660194174758
310,632,192974,622.4967741935484
311,630,193604,622.5209003215434
312,630,194234,622.5448717948718
313,633,194867,622.5782747603834
314,630,195497,622.6019108280254
315,630,196127,622.6253968253968
316,630,196757,622.6487341772151
317,633,197390,622.6813880126183
318,633,198023,622.7138364779875
319,630,198653,622.7366771159875
320,632,199285,622.765625
321,634,199919,622.8006230529595
322,633,200552,622.8322981366459
323,630,201182,622.8544891640867
324,630,201812,622.8765432098766
325,630,202442,622.8984615384616
326,630,203072,622.920245398773
327,638,203710,622.9663608562691
328,632,204342,622.9939024390244
329,631,204973,623.0182370820669
330,635,205608,623.0545454545454
331,645,206253,623.1208459214502
332,633,206886,623.1506024096385
